id,fuel,ABS-compatibility,parking-sensor,symboling,normalized-losses,num-of-doors,body-style,manufacturer,condition,wheel-base,length,width,height,car-weight,engine-type,num-of-persons,engine-size,battery-type,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
155,petrol,ABS not supported,installed,1,125,four,sedan,mitsubishi,new,96.3,172.4,65.4,51.6,2405,ohc,four,122,li-ion,3.35,3.46,8.5,88,5000,25,32,8189
156,petrol,ABS not supported,installed,1,154,four,sedan,plymouth,new,93.7,167.3,63.8,50.8,2191,ohc,four,98,li-ion,2.97,3.23,9.4,68,5500,31,38,7609
157,diesel,ABS not supported,installed,2,122,two,sedan,volkswagen,new,97.3,171.7,65.5,55.7,2261,ohc,four,97,vrla,3.01,3.4,23.0,52,4800,37,46,7775
158,petrol,ABS not supported,not installed,0,?,four,sedan,mercedes-benz,new,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,sli,3.8,3.35,8.0,184,4500,14,16,40960
159,petrol,ABS not supported,installed,0,89,four,wagon,subaru,new,97.0,173.5,65.4,53.0,2290,ohcf,four,108,li-ion,3.62,2.64,9.0,82,4800,28,32,7463
160,petrol,ABS not supported,not installed,0,188,two,sedan,bmw,new,101.2,176.8,64.8,54.3,2710,ohc,six,164,sli,3.31,3.19,9.0,121,4250,21,28,20970
161,petrol,ABS not supported,installed,1,107,two,sedan,honda,new,96.5,169.1,66.0,51.0,2293,ohc,four,110,li-ion,3.15,3.58,9.1,100,5500,25,31,10345
162,petrol,ABS not supported,installed,1,125,four,sedan,mitsubishi,new,96.3,172.4,65.4,51.6,2365,ohc,four,122,li-ion,3.35,3.46,8.5,88,5000,25,32,6989
163,petrol,ABS not supported,installed,2,94,four,sedan,volkswagen,new,97.3,171.7,65.5,55.7,2300,ohc,four,109,sli,3.19,3.4,10.0,100,5500,26,32,9995
164,petrol,ABS not supported,not installed,0,?,two,sedan,jaguar,new,102.0,191.7,70.6,47.8,3950,ohcv,twelve,326,sli,3.54,2.76,11.5,262,5000,13,17,36000
165,petrol,ABS not supported,installed,3,150,two,hatchback,saab,new,99.1,186.6,66.5,56.1,2658,ohc,four,121,sli,3.54,3.07,9.31,110,5250,21,28,11850
166,petrol,ABS not supported,installed,1,103,four,wagon,nissan,new,94.5,170.2,63.8,53.5,2024,ohc,four,97,li-ion,3.15,3.29,9.4,69,5200,31,37,7349
167,petrol,ABS not supported,installed,0,85,four,sedan,honda,new,96.5,175.4,65.2,54.1,2304,ohc,four,110,dc,3.15,3.58,9.0,86,5800,27,33,8845
168,petrol,ABS not supported,installed,0,128,four,sedan,nissan,new,100.4,181.7,66.5,55.1,3095,ohcv,six,181,sli,3.43,3.27,9.0,152,5200,17,22,13499
169,petrol,ABS not supported,installed,0,91,four,sedan,toyota,new,95.7,166.3,64.4,52.8,2140,ohc,four,98,li-ion,3.19,3.03,9.0,70,4800,28,34,9258
